%MJZ Graph Standard
N(72982)_V(10)_E(9) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(76699)_V(10)_E(9) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(313410)_V(10)_E(9) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(631597)_V(10)_E(9) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(1899)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(3225)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 2 .
N(6745)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(6746)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(14085)_V(10)_E(10) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(40593)_V(10)_E(10) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 2 .
N(74446)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(622153)_V(10)_E(10) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 2 .
N(624671)_V(10)_E(10) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(100139)_V(10)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 2 .
N(629039)_V(10)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(650709)_V(10)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(8145)_V(11)_E(10) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(39851)_V(11)_E(10) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(647528)_V(11)_E(10) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(664968)_V(11)_E(10) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(677499)_V(11)_E(10) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(683725)_V(11)_E(10) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(680)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(2858)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(45956)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(71988)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(149704)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(149716)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(202537)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(209913)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(282064)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(625134)_V(11)_E(11) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(684032)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(690691)_V(11)_E(11) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(100144)_V(11)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(623021)_V(11)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(645924)_V(11)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(690229)_V(11)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(16231)_V(11)_E(13) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 4 <= Tw(L(G)) <= 4] , exTime= 1 .
N(683722)_V(12)_E(10) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(19191)_V(12)_E(11) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(21545)_V(12)_E(11) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(640440)_V(12)_E(11) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(665076)_V(12)_E(11) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(674447)_V(12)_E(11) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(678038)_V(12)_E(11) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(1112)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(1895)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(1937)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(2667)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(3110)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(23272)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(24626)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(54256)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(57110)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(60188)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(66415)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(135284)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(147625)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(148519)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(294731)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(405124)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(626433)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(630911)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(632921)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(632922)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(637039)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(648146)_V(12)_E(12) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(674349)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(686662)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(698126)_V(12)_E(12) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(78998)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(103776)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(177951)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(264045)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(371717)_V(12)_E(13) , H&W[ 3 <= Tw(L(G)) <= 9] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(624915)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(675989)_V(12)_E(13) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
